date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:45	106/106	---M-Z	200	added ('OK')	text/plain	date:Thu,%2007%20Aug%202025%2013:25:26%20GMT	https://bfarm.com/robots.txt		(from )
17:21:48	38571/38571	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2016:21:49%20GMT	https://bfarm.com/	C:/My%20Web%20Sites/Samuel/bfarm.com/index.html	(from )
17:21:49	139072/139072	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2000:54:30%20GMT	https://bfarm.com/wp-content/uploads/2023/06/favicon.png	C:/My%20Web%20Sites/Samuel/bfarm.com/wp-content/uploads/2023/06/favicon.png	(from https://bfarm.com/)
17:21:50	5534/5534	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Aug%202025%2016:21:51%20GMT	https://use.typekit.net/llu2hoz.css	C:/My%20Web%20Sites/Samuel/use.typekit.net/llu2hoz.css	(from https://bfarm.com/)
17:21:50	116345/116345	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20Jul%202025%2002:40:57%20GMT	https://bfarm.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/My%20Web%20Sites/Samuel/bfarm.com/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://bfarm.com/)
17:21:51	142476/142476	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Apr%202024%2000:49:48%20GMT	https://bfarm.com/wp-content/themes/bowles/style.css	C:/My%20Web%20Sites/Samuel/bfarm.com/wp-content/themes/bowles/style.css	(from https://bfarm.com/)
17:21:51	980/980	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Apr%202024%2000:55:27%20GMT	https://bfarm.com/wp-content/uploads/2023/06/logo-bowles.svg	C:/My%20Web%20Sites/Samuel/bfarm.com/wp-content/uploads/2023/06/logo-bowles.svg	(from https://bfarm.com/)
17:21:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Aug%202025%2016:21:52%20GMT	https://bfarm.com/privacy-policy	C:/My%20Web%20Sites/Samuel/bfarm.com/privacy-policy	(from https://bfarm.com/)
17:21:52	41232/41232	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2001:22:29%20GMT	https://bfarm.com/wp-content/themes/bowles/assets/images/bg-header.png	C:/My%20Web%20Sites/Samuel/bfarm.com/wp-content/themes/bowles/assets/images/bg-header.png	(from https://bfarm.com/)
17:21:52	30936/30936	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2016:21:53%20GMT	https://bfarm.com/privacy-policy/	C:/My%20Web%20Sites/Samuel/bfarm.com/privacy-policy/index.html	(from https://bfarm.com/)
17:21:55	31847/31847	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2016:21:54%20GMT	https://bfarm.com/our-history/	C:/My%20Web%20Sites/Samuel/bfarm.com/our-history/index.html	(from https://bfarm.com/)
17:21:55	53896/53896	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2016:21:54%20GMT	https://bfarm.com/our-expert-team/	C:/My%20Web%20Sites/Samuel/bfarm.com/our-expert-team/index.html	(from https://bfarm.com/)
17:21:55	39525/39525	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2016:21:54%20GMT	https://bfarm.com/about/	C:/My%20Web%20Sites/Samuel/bfarm.com/about/index.html	(from https://bfarm.com/)
